player_id,archetype,country_code,platform,device_tier,acquisition_channel,is_payer,is_churned,lifetime_days,install_date,last_active_date,total_sessions,avg_session_min,purchases,revenue_usd,social_interactions,recency_days,payer_segment
p_002757,whale_payer,CA,android,mid,facebook,1,0,168,2024-07-16,2024-12-31,126,24.9,89,998.11,54,0,high_value
p_002830,whale_payer,US,android,mid,facebook,1,0,216,2024-05-29,2024-12-31,134,24.1,80,945.2,53,0,high_value
p_002806,whale_payer,AU,android,low,google,1,0,179,2024-07-05,2024-12-31,126,25.4,84,941.16,48,0,high_value
p_002795,whale_payer,DE,android,low,tiktok,1,1,281,2024-01-10,2024-10-17,177,24.7,90,930.1,37,75,high_value
p_002720,whale_payer,MX,android,low,facebook,1,1,305,2024-01-28,2024-11-28,219,25.2,82,918.18,23,33,high_value
p_002749,whale_payer,SE,android,mid,organic,1,1,217,2024-03-06,2024-10-09,160,25.1,84,906.16,53,83,high_value
p_002811,whale_payer,US,android,low,applovin,1,1,270,2024-02-03,2024-10-30,185,25.6,88,906.12,20,62,high_value
p_002827,whale_payer,KR,android,low,organic,1,0,199,2024-06-15,2024-12-31,154,24.9,80,901.2,46,0,high_value
p_002787,whale_payer,JP,android,low,organic,1,0,189,2024-06-25,2024-12-31,145,25.8,81,890.19,40,0,high_value
p_002769,whale_payer,BR,ios,mid,facebook,1,1,219,2024-03-05,2024-10-10,158,25.8,89,890.11,47,82,high_value
p_002711,whale_payer,US,android,mid,google,1,0,325,2024-02-10,2024-12-31,237,25.6,87,889.13,27,0,high_value
p_002814,whale_payer,TR,android,mid,google,1,0,237,2024-05-08,2024-12-31,177,23.9,85,875.15,38,0,high_value
p_002750,whale_payer,MX,android,high,other,1,1,211,2024-04-20,2024-11-17,161,25.3,80,869.2,29,44,high_value
p_002748,whale_payer,US,ios,mid,google,1,1,210,2024-01-10,2024-08-07,131,25.3,89,864.11,47,146,high_value
p_002780,whale_payer,US,android,low,facebook,1,0,292,2024-03-14,2024-12-31,220,24.2,87,862.13,42,0,high_value
p_002703,whale_payer,TR,android,high,facebook,1,0,214,2024-05-31,2024-12-31,157,24.6,81,858.19,39,0,high_value
p_002721,whale_payer,MX,ios,mid,applovin,1,0,254,2024-04-21,2024-12-31,161,23.6,76,857.24,27,0,high_value
p_002772,whale_payer,IN,android,low,google,1,0,187,2024-06-27,2024-12-31,131,24.6,79,854.21,45,0,high_value
p_002725,whale_payer,ES,android,low,facebook,1,1,238,2024-02-03,2024-09-28,157,25.9,76,852.24,38,94,high_value
p_002798,whale_payer,US,ios,low,organic,1,0,222,2024-05-23,2024-12-31,158,24.6,77,843.23,31,0,high_value
p_002848,whale_payer,PL,ios,low,google,1,1,283,2024-01-07,2024-10-16,205,24.5,84,842.16,53,76,high_value
p_002756,whale_payer,US,ios,mid,tiktok,1,1,261,2024-01-24,2024-10-11,207,24.9,71,837.29,23,81,high_value
p_002742,whale_payer,TR,android,low,unity_ads,1,1,231,2024-04-15,2024-12-02,159,24.1,84,826.16,36,29,high_value
p_002820,whale_payer,US,ios,high,organic,1,0,304,2024-03-02,2024-12-31,199,24.9,76,824.24,51,0,high_value
p_002762,whale_payer,AU,android,mid,organic,1,0,166,2024-07-18,2024-12-31,119,24.6,76,819.24,35,0,high_value
p_002760,whale_payer,GB,android,low,unity_ads,1,0,302,2024-03-04,2024-12-31,241,24.9,85,818.15,52,0,high_value
p_002719,whale_payer,TR,ios,high,unity_ads,1,1,266,2024-01-26,2024-10-18,198,25.3,83,812.17,50,74,high_value
p_002722,whale_payer,DE,ios,mid,tiktok,1,1,231,2024-04-30,2024-12-17,133,24.9,90,807.1,37,14,high_value
p_002726,whale_payer,FR,android,low,facebook,1,1,254,2024-04-13,2024-12-23,174,24.8,82,794.18,30,8,high_value
p_002763,whale_payer,IN,android,mid,facebook,1,1,229,2024-04-02,2024-11-17,147,26.2,80,791.2,46,44,high_value
p_002777,whale_payer,US,android,mid,facebook,1,0,225,2024-05-20,2024-12-31,152,25.2,79,778.21,28,0,high_value
p_002702,whale_payer,BR,android,mid,organic,1,1,288,2024-01-02,2024-10-16,219,25.2,81,771.19,32,76,high_value
p_002829,whale_payer,RU,android,low,organic,1,1,222,2024-04-30,2024-12-08,164,25.6,75,770.25,26,23,high_value
p_002717,whale_payer,GB,ios,mid,organic,1,1,293,2024-02-29,2024-12-18,223,24.9,81,757.19,21,13,high_value
p_002797,whale_payer,US,android,low,organic,1,1,271,2024-01-01,2024-09-28,215,25.9,69,750.31,20,94,high_value
p_002770,whale_payer,AR,android,low,facebook,1,0,275,2024-03-31,2024-12-31,204,24.9,68,743.32,50,0,high_value
p_002771,whale_payer,TH,ios,high,facebook,1,1,241,2024-01-09,2024-09-06,184,25.4,75,739.25,50,116,high_value
p_002841,whale_payer,DE,ios,low,organic,1,1,228,2024-02-29,2024-10-14,149,25.1,70,733.3,29,78,high_value
p_002755,whale_payer,JP,ios,high,facebook,1,1,347,2024-01-19,2024-12-31,236,24.8,71,728.29,53,0,high_value
p_002765,whale_payer,RU,ios,high,facebook,1,1,328,2024-01-26,2024-12-19,217,26.0,63,717.37,33,12,high_value
p_002705,whale_payer,ES,ios,low,google,1,1,209,2024-04-03,2024-10-29,165,24.2,63,709.37,48,63,high_value
p_002723,whale_payer,FR,android,high,facebook,1,1,258,2024-02-10,2024-10-25,211,25.8,84,704.16,27,67,high_value
p_002738,whale_payer,GB,ios,mid,organic,1,1,202,2024-02-28,2024-09-17,140,24.8,64,703.36,36,105,high_value
p_002786,whale_payer,DE,android,low,other,1,0,179,2024-07-05,2024-12-31,128,24.9,71,701.29,42,0,high_value
p_002847,whale_payer,PL,ios,high,facebook,1,0,172,2024-07-12,2024-12-31,127,26.5,59,700.41,35,0,high_value
p_002816,whale_payer,TR,android,low,organic,1,0,190,2024-06-24,2024-12-31,158,25.1,61,700.39,20,0,high_value
p_002740,whale_payer,JP,android,mid,facebook,1,0,292,2024-03-14,2024-12-31,212,25.6,66,695.34,55,0,high_value
p_002821,whale_payer,US,android,low,unity_ads,1,0,284,2024-03-22,2024-12-31,195,23.6,71,689.29,26,0,high_value
p_002700,whale_payer,ES,ios,high,applovin,1,1,332,2024-01-30,2024-12-27,236,23.6,75,679.25,33,4,high_value
p_002746,whale_payer,RU,android,low,facebook,1,0,184,2024-06-30,2024-12-31,128,25.2,64,669.36,30,0,high_value
p_002741,whale_payer,IT,android,mid,tiktok,1,1,288,2024-02-01,2024-11-15,203,24.4,61,666.39,23,46,high_value
p_002836,whale_payer,JP,ios,low,organic,1,0,227,2024-05-18,2024-12-31,161,26.0,56,664.44,30,0,high_value
p_002801,whale_payer,MX,ios,mid,organic,1,1,200,2024-04-16,2024-11-02,136,24.9,64,664.36,32,59,high_value
p_002732,whale_payer,DE,ios,high,google,1,1,269,2024-02-05,2024-10-31,237,24.8,67,663.33,46,61,high_value
p_002706,whale_payer,KR,android,mid,organic,1,1,269,2024-03-26,2024-12-20,201,24.7,61,662.39,20,11,high_value
p_002813,whale_payer,US,ios,mid,google,1,0,268,2024-04-07,2024-12-31,201,23.5,70,660.3,54,0,high_value
p_002739,whale_payer,KR,android,low,organic,1,0,204,2024-06-10,2024-12-31,157,26.1,67,658.33,46,0,high_value
p_002782,whale_payer,GB,ios,high,tiktok,1,1,244,2024-02-19,2024-10-20,155,24.8,55,652.45,50,72,high_value
p_002775,whale_payer,AU,ios,high,tiktok,1,0,211,2024-06-03,2024-12-31,148,24.0,58,648.42,31,0,high_value
p_002761,whale_payer,PL,android,low,organic,1,0,172,2024-07-12,2024-12-31,135,24.1,72,647.28,21,0,high_value
p_002819,whale_payer,US,ios,mid,facebook,1,0,195,2024-06-19,2024-12-31,169,24.4,68,641.32,24,0,high_value
p_002776,whale_payer,IN,ios,mid,facebook,1,1,204,2024-03-30,2024-10-20,137,24.1,64,639.36,43,72,high_value
p_002715,whale_payer,US,android,mid,tiktok,1,0,166,2024-07-18,2024-12-31,126,24.5,64,638.36,47,0,high_value
p_002792,whale_payer,IT,ios,mid,facebook,1,0,221,2024-05-24,2024-12-31,161,25.6,72,635.28,53,0,high_value
p_002840,whale_payer,GB,ios,low,other,1,0,189,2024-06-25,2024-12-31,133,24.6,69,633.31,50,0,high_value
p_002837,whale_payer,US,ios,high,google,1,1,274,2024-02-08,2024-11-08,192,25.9,62,629.38,23,53,high_value
